cls_code,cls_name,cls_group,unit,default_frequency,is_active,source_ref,clinical_purpose,indication_criteria,repeat_interval
CLS-XN-CONG-THUC-MAU,Công thức máu,Xét nghiệm,mẫu,Theo đợt khám,TRUE,MOH-IM-2026,Đánh giá tổng quát tế bào máu: hồng cầu thiếu máu; bạch cầu nhiễm trùng; tiểu cầu đông máu,Bệnh nhân mới khám lần đầu hoặc đang dùng thuốc ảnh hưởng tủy xương,3 tháng
CLS-XN-DUONG-HUYET,Đường huyết,Xét nghiệm,mẫu,Theo đợt khám,TRUE,MOH-IM-2026,Định lượng glucose máu tại thời điểm lấy mẫu để tầm soát hoặc theo dõi ĐTĐ,Bệnh nhân ĐTĐ mỗi lần tái khám hoặc nghi ngờ ĐTĐ mới,1 tháng
CLS-XN-HBA1C,Xét nghiệm HbA1c,Xét nghiệm,mẫu,3 tháng,TRUE,MOH-IM-2026,Đánh giá mức kiểm soát đường huyết trung bình trong 3 tháng qua,Bệnh nhân ĐTĐ đã xác nhận hoặc cần đánh giá kiểm soát dài hạn,3 tháng
CLS-XN-CREATININE,Creatinine huyết thanh,Xét nghiệm,mẫu,Theo đợt khám,TRUE,MOH-IM-2026,Đánh giá chức năng lọc cầu thận (eGFR) và phát hiện suy thận sớm,Bệnh nhân THA/ĐTĐ hoặc đang dùng thuốc độc thận (NSAID/ACEi/ARB),3-6 tháng
CLS-XN-AST-ALT,Xét nghiệm AST ALT (Men gan),Xét nghiệm,mẫu,Theo đợt khám,TRUE,MOH-IM-2026,Đánh giá chức năng gan và phát hiện tổn thương gan do thuốc,Bệnh nhân dùng Statin/Metformin/NSAID kéo dài hoặc có bệnh gan nền,3-6 tháng
CLS-XN-NUOC-TIEU,Tổng phân tích nước tiểu,Xét nghiệm,mẫu,Theo đợt khám,TRUE,MOH-IM-2026,Phát hiện đạm niệu/đường niệu/hồng cầu niệu gợi ý tổn thương thận hoặc nhiễm trùng tiết niệu,Bệnh nhân ĐTĐ hoặc THA cần tầm soát biến chứng thận,3-6 tháng
CLS-XN-MICROALBUMIN,Xét nghiệm Microalbumin niệu,Xét nghiệm,mẫu,6 tháng,TRUE,MOH-IM-2026,Phát hiện sớm tổn thương thận giai đoạn vi thể trước khi đạm niệu dương tính trên tổng phân tích,Bệnh nhân ĐTĐ typ 2 trên 5 năm hoặc ĐTĐ typ 1 trên 1 năm,6 tháng
CLS-TDCN-ECG-12,Điện tâm đồ 12 chuyển đạo,Thăm dò chức năng,lần,Theo đợt khám,TRUE,MOH-IM-2026,Ghi nhận hoạt động điện tim phát hiện rối loạn nhịp/thiếu máu cơ tim/dày thất,Bệnh nhân THA/đau ngực/khó thở/tiền sử tim mạch,6 tháng trừ khi có triệu chứng mới
CLS-XN-LIPID,Hồ sơ lipid máu (Cholesterol/Triglyceride),Xét nghiệm,mẫu,6 tháng,TRUE,MOH-IM-2026,Đánh giá nguy cơ xơ vữa động mạch qua Cholesterol toàn phần/LDL/HDL/Triglyceride,Bệnh nhân rối loạn lipid hoặc có nguy cơ tim mạch cao (THA/ĐTĐ/hút thuốc),3-6 tháng
CLS-TDCN-NOI-SOI-TMH,Nội soi tai mũi họng,Thăm dò chức năng,lần,Theo đợt khám,TRUE,MOH-ENT-2026,Quan sát trực tiếp niêm mạc mũi/họng/thanh quản bằng ống nội soi để đánh giá mức độ viêm/polyp/u,Tất cả bệnh nhân TMH ngoại trú có triệu chứng ngạt mũi/chảy mủ/đau họng kéo dài,1 tháng
CLS-TDCN-DO-THINH-LUC,Đo thị lực đơn âm (Audiometry),Thăm dò chức năng,lần,Theo đợt khám,TRUE,MOH-ENT-2026,Đo ngưỡng nghe ở các tần số khác nhau để xác định mức độ và loại giảm thính lực,Bệnh nhân viêm tai giữa/ù tai/nghe kém hoặc tiếp xúc tiếng ồn nghề nghiệp,3 tháng
CLS-TDCN-NHI-LUONG-DO,Nhi lượng đồ (Tympanometry),Thăm dò chức năng,lần,Theo đợt khám,TRUE,MOH-ENT-2026,Đo áp lực và độ đàn hồi màng nhĩ để đánh giá chức năng tai giữa và phát hiện tràn dịch,Bệnh nhân viêm tai giữa hoặc nghi ngờ tắc vòi nhĩ,1-3 tháng
